,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
0,FORD,EXPLORER,FORD EXPLORER,FORD EXPLORER,FORD,EXPLORER,FORD EXPLORER
1,MERCEDES,AMG GT,MERCEDES AMG GT,MERCEDES AMG AMG GT,MERCEDES AMG,AMG GT,MERCEDES AMG AMG GT
2,MERCEDES,AMG GT BLACK SERIES,MERCEDES AMG GT BLACK SERIES,MERCEDES AMG AMG GT,MERCEDES AMG,AMG GT,MERCEDES AMG AMG GT
3,MAZDA,CX 80,MAZDA CX 80,MAZDA CX 30,MAZDA,CX 30,MAZDA CX 30
4,MAZDA,CX 30,MAZDA CX 30,MAZDA CX 30,MAZDA,CX 30,MAZDA CX 30
5,BMW,IX3,BMW IX3,BMW IX3,BMW,IX3,BMW IX3
6,FIAT,BRAVO,FIAT BRAVO,FIAT BRAVO,FIAT,BRAVO,FIAT BRAVO
7,OMODA,5,OMODA 5,OMODA 5,OMODA,5,OMODA 5
8,SEAT,IBIZA,SEAT IBIZA,SEAT IBIZA,SEAT,IBIZA,SEAT IBIZA
9,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE,ASTON MARTIN VANTAGE,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE
10,ASTON MARTIN,VANTAGE V12,ASTON MARTIN VANTAGE V12,ASTON MARTIN VANTAGE,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE
11,FIAT,500,FIAT 500,FIAT 500,FIAT,500,FIAT 500
12,TESLA,MODEL Y,TESLA MODEL Y,TESLA MODEL Y,TESLA,MODEL Y,TESLA MODEL Y
13,BMW,SERIE 3 M3 CS,BMW SERIE 3 M3 CS,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
14,BMW,SERIE 3,BMW SERIE 3,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
15,BMW,SERIE 3 M3,BMW SERIE 3 M3,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
16,BMW,SERIE 3 EDRIVE,BMW SERIE 3 EDRIVE,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
17,BMW,SERIE 3 GRAN TURISMO,BMW SERIE 3 GRAN TURISMO,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
18,BMW,SERIE 3 ESTANDAR,BMW SERIE 3 ESTANDAR,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
19,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
20,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
21,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
22,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
23,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
24,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
25,MAZDA,CX 60,MAZDA CX 60,MAZDA CX 60,MAZDA,CX 60,MAZDA CX 60
26,PEUGEOT,5008,PEUGEOT 5008,PEUGEOT 5008,PEUGEOT,5008,PEUGEOT 5008
27,HYUNDAI,SANTA FE,HYUNDAI SANTA FE,HYUNDAI SANTA FE,HYUNDAI,SANTA FE,HYUNDAI SANTA FE
28,OPEL,ZAFIRA,OPEL ZAFIRA,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
29,OPEL,ZAFIRA LIFE ELECTRIC,OPEL ZAFIRA LIFE ELECTRIC,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
30,OPEL,ZAFIRA OPC,OPEL ZAFIRA OPC,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
31,MERCEDES,CLA E,MERCEDES CLA E,MERCEDES BENZ E 320 CDI,MERCEDES BENZ,E 320 CDI,MERCEDES BENZ E 320 CDI
32,SKODA,KODIAQ RS,SKODA KODIAQ RS,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
33,SKODA,KODIAQ,SKODA KODIAQ,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
34,SKODA,KODIAQ SCOUT,SKODA KODIAQ SCOUT,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
35,CUPRA,FORMENTOR,CUPRA FORMENTOR,CUPRA FORMENTOR,CUPRA,FORMENTOR,CUPRA FORMENTOR
36,PEUGEOT,3008,PEUGEOT 3008,PEUGEOT 3008,PEUGEOT,3008,PEUGEOT 3008
37,PEUGEOT,3008 HYBRID4,PEUGEOT 3008 HYBRID4,PEUGEOT 3008,PEUGEOT,3008,PEUGEOT 3008
38,SKODA,ENYAQ,SKODA ENYAQ,SKODA ENYAQ 80,SKODA,ENYAQ 80,SKODA ENYAQ 80
39,HYUNDAI,IONIQ 5,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5,HYUNDAI,IONIQ 5,HYUNDAI IONIQ 5
40,CITROEN,C3,CITROEN C3,CITROEN C3,CITROEN,C3,CITROEN C3
41,CITROEN,C3 PLURIEL,CITROEN C3 PLURIEL,CITROEN C3,CITROEN,C3,CITROEN C3
42,MERCEDES,CLASE GLC,MERCEDES CLASE GLC,MERCEDES BENZ CLASE GLC,MERCEDES BENZ,CLASE GLC,MERCEDES BENZ CLASE GLC
43,MERCEDES,CLASE GLC E,MERCEDES CLASE GLC E,MERCEDES BENZ CLASE GLC,MERCEDES BENZ,CLASE GLC,MERCEDES BENZ CLASE GLC
44,KIA,EV6,KIA EV6,KIA EV6,KIA,EV6,KIA EV6
45,BYD,ATTO 2,BYD ATTO 2,BYD ATTO 3,BYD,ATTO 3,BYD ATTO 3
46,BYD,ATTO 3,BYD ATTO 3,BYD ATTO 3,BYD,ATTO 3,BYD ATTO 3
47,AUDI,Q7,AUDI Q7,AUDI Q7,AUDI,Q7,AUDI Q7
48,AUDI,Q7 E,AUDI Q7 E,AUDI Q7,AUDI,Q7,AUDI Q7
49,CITROEN,C3 AIRCROSS,CITROEN C3 AIRCROSS,CITROEN C3 AIRCROSS,CITROEN,C3 AIRCROSS,CITROEN C3 AIRCROSS
50,TOYOTA,YARIS,TOYOTA YARIS,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
51,TOYOTA,YARIS GR,TOYOTA YARIS GR,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
52,TOYOTA,YARIS GRMN,TOYOTA YARIS GRMN,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
53,TOYOTA,YARIS T SPORT,TOYOTA YARIS T SPORT,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
